ID,Title,SortTitle,Filed As,CallNum,IsPartOf,Related,issn,eissn,country,provState,cityTown,location,holdingCoverage,contentStart,contentEnd,gaps,pubDate,pubHistoryImage,notesTitle,frequency,localNotes,Column,Column2,First Issue Verbatim Date,First Issue Start Date,First Issue End Date,Last Issue Verbatim Date,Last Issue Start Date,Last Issue End Date
487,"Fisherman's Advocate (Port Union, Newfoundland : 1924)","Fisherman's Advocate (Port Union, Newfoundland : 1924)",,HD8101 .F573,483,Y,,,CA,NL,Port Union,HIL-MIC,"Sept 5, 1924 - May 22, 1980",1924-09-05,1980-05-22,N,"Sept 5, 1924 - May 22, 1980",N,,Weekly,"The Fisherman's Advocate, the Mail and Advocate (Weekly Edition), and the Weekly Advocate are all weekly editions of the daily papers the Daily Mail, the Mail and Advocate and the Evening Advocate.|The Fisherman's Advocate, the Mail and Advocate (Weekly Edition), and the Weekly Advocate are all weekly editions of the daily papers the Daily Mail, the Mail and Advocate and the Evening Advocate. ",,,05-Sep-24,05/09/1924,,22-May-80,22/05/1980,
488,Upper Canada Gazette,Upper Canada Gazette,Upper Canada Gazette ,,488,N,,,CA,ON,Toronto,HIL-MIC,"Jan 1817 - 1844, [1845], [1846], [1847], [1848]",1817-01-01,1848-01-01,Y,1817 - 1849,N,,Weekly,"Published in two parts from 1821-1828; the first official part was called the Upper Canada Gazette; the second part contained news coverage and was called the York Weekly Post (1821-1822), the Weekly Register (1822-1826) and the United Empire Loyalist (Jun. 1826 - May 1828).",,,1817,01/01/1817,31/12/1817,1849,01/01/1849,12/07/1851
489,Melting Pot,Melting Pot,,HD8101 .L66 ,489,N,,,CA,ON,Oshawa,HIL-MIC,"Feb 26, 1940 - Mar 26, 1940",1940-02-26,1940-03-26,N,1939 - ? ,N,,,,,,1939,01/01/1939,31/12/1939,?,,
490,"Oshaworker Local 222, UAW-CIO ","Oshaworker Local 222, UAW-CIO ",,HD8101 .S71 ,490,N,,,CA,ON,Oshawa,HIL-MIC,Jan 1945 - Nov 1946 ,1945-01-01,1946-11-01,N,1942 - ?,N,,,,,,1942,01/01/1942,31/12/1942,?,,
491,"Gazette (Ottawa, Ontario)","Gazette (Ottawa, Ontario)",Bytown Gazette ,,491,N,,,CA,ON,Ottawa,HIL-MIC,"June 9, 1836 - Nov 20, 1845",1836-06-09,1845-11-20,N,"June 9, 1836 - Nov 20, 1845",N,Variant titles: Bytown Gazette and City of Ottawa Advertiser; Bytown Gazette and Ottawa and Rideau Advertiser; Bytown Gazette and Ottawa Advertiser; Bytown Gazette and Rideau Advertiser.,,"Bytown, which is the former name of Ottawa, is the given place of publication.",,,"June 9, 1836 ",09/06/1836,,"Nov 20, 1845",20/11/1845,
492,Bytown Independent and Farmer's Advocate,Bytown Independent and Farmer's Advocate,"Bytown Gazette, reel 1",,491,N,,,CA,ON,Ottawa,HIL-MIC,"Feb 7, 1836; Mar 10, 1836",1836-02-07,1836-03-10,N,Feb - Apr 1836,N,,,Bytown is the former name of Ottawa.,,,Feb 1836,01/02/1836,29/02/1836,Apr 1836,01/04/1836,30/04/1836
493,Canadian Congress Journal,Canadian Congress Journal,,HD8102 .C4,494,N,0315-1883,,CA,ON,Ottawa,HIL-MIC,Jan 1922 - Jan 1944,1922-01-01,1944-01-01,N,Jan 1922 - Jan 1944,N,,Monthly,,,,Jan-22,01/01/1922,31/01/1922,Jan-44,01/01/1944,31/01/1944
494,Canadian Labour ,Canadian Labour ,,HD8101 .C22,466,N,,,CA,ON,Ottawa,HIL-MIC,July 1952 - Mar 1956 ,1952-07-01,1956-03-01,N,July 1952 - Mar 1956 ,N,,,v.3 no.10 - v.7 no. 6,,,Jul-52,01/07/1952,31/07/1952,Mar-56,01/03/1956,31/03/1956
495,Canadian Railroad Employees' Monthly ,Canadian Railroad Employees' Monthly ,,HD8101 .C35,497,N,,,CA,ON,Ottawa,HIL-MIC,Jan 1915 - Dec 1929,1915-01-01,1929-12-01,N,Jan 1915 - Dec 1929,N,,,v.1-15|Some text is in French.,,,Jan-15,01/01/1915,31/01/1915,Dec-29,01/12/1929,31/12/1929
496,Canadian Railway Employees' Monthly ,Canadian Railway Employees' Monthly ,,HD8101 .C35,497,N,0319-6933,,CA,ON,Ottawa,HIL-MIC,Jan 1930 - Mar 1953,1930-01-01,1953-03-01,N,Jan 1930 - Mar 1953,N,,Monthly,v.16 no.1 - v.39 no.3.|Some text is in French.,,,Jan-30,01/01/1930,31/01/1930,Mar-53,01/03/1953,31/03/1953
497,Canadian Transport ,Canadian Transport ,,HD8101 .C35,497,N,0045-5466,,CA,ON,Ottawa,HIL-MIC,Jan 1963 -Dec 1975 ,1963-01-01,1975-12-01,N,Jan 1963 - ?,N,Variant French title: Transport Canadien,Monthly Jan 1963 - July 1963; Semi-monthly Sept 1963-1971; Monthly 1972 -,Some text is in French.,,,Jan-63,01/01/1963,31/01/1963,?,,
498,The Canadian Unionist,Canadian Unionist,,HD8101 .C38 ,494,N,0315-1913,,CA,PQ,Hull,HIL-MIC,June 1927 - Mar 1956 ,1927-06-01,1956-03-01,N,June 1927 - Mar 1956 ,N,"The Trades and Labour Congress Journal (Ottawa, Ontario) and the Canadian Unionist (Hull, Québec) merge to form the Canadian Labour (1956) which we do not have in Microforms. There is, however, a copy in HIL-STACKS, call number HD8102 .C26. ",Monthly,v.1-v.30 no.3,,,Jun-27,01/06/1927,30/06/1927,Mar-56,01/03/1956,31/03/1956
499,"Citizen (Ottawa, Ontario)","Citizen (Ottawa, Ontario)",Ottawa Citizen,,499,N,,,CA,ON,Ottawa,HIL-MIC,"Sept 4, 1846 - Dec 31, 1892; Jan 3, 1967 - June 1987",1846-09-04,1987-06-01,Y,"Sept 4, 1846 - Current",Y,"Variant titles: Daily Citizen, Ottawa Citizen, Ottawa Daily Citizen.",,"Supplements Canadian Magazine, Canadian, Canadian Weekend and Canadian Magazine are also filmed from Nov.1967 - 1982.",,,"Sept 4, 1846 ",04/09/1846,,Present,,
500,Saint John Daily News (1877),Saint John Daily News (1877),Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"July 6, 1877 - July 19, 1877",1877-07-06,1877-07-19,N,"July 6, 1877 - July 19, 1877",N,,Daily,,,,"July 6, 1877 ",06/07/1877,,"July 19, 1877",19/07/1877,
501,"Canada Gazette (Kingston, Ontario : 1841)","Canada Gazette (Kingston, Ontario : 1841)",Canada Gazette ,,679,N,,,CA,ON,Kingston,HIL-MIC,"Oct 2, 1841 - Dec 1849",1841-10-02,1849-12-01,N,"Oct 2, 1841 - Dec 1849",N,,Weekly,"Official government publication, published in both English and French. The Canada Gazette was published in both Kingston, Ontario and Montréal, Québec with the exception of 1850-1851 when edition published in Kingston moved to Toronto, Ontario. One result of Confederation in 1867 was the concurrent publication of two Canada Gazettes until 1869 when the new capital, Ottawa, began publication of its own Canada Gazette (not in our collection). Both series were published weekly on Saturdays by Malcolm Cameron who had become Queen's Printer in 1863. The series which had begun in 1841 continued until the end of 1869 and focused on Ontario and Québec, with greater emphasis placed on Québec. The new series, published in Ottawa, which began on July 1, 1867, dealt with federal matters. The Canada Gazette (1841-1869) was discontinued after the Ontario gazette and the Québec Gazette began to publish in 1868 and 1869 making it redundant.",,,"Oct 2, 1841 ",02/10/1841,,Dec 1849,01/12/1849,31/12/1849
502,Peterborough U.E. News ,Peterborough U.E. News ,,HD8101 .L66 ,502,N,,,CA,ON,Peterborough,HIL-MIC,"Sept 2, 1942 - Nov 6, 1942",1942-09-02,1942-11-06,N,"Sept 2, 1942 - Nov 6, 1942",N,,,,,,02-Sep-42,02/09/1942,,06-Nov-42,06/11/1942,
503,Morning News (1848),Morning News (1848),Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"Feb 11, 1848 - Oct 1, 1852",1848-02-11,1852-10-01,N,"Feb 11, 1848 - Oct 1, 1852",N,,Tri-weekly,,,,"Feb 11, 1848 ",11/02/1848,,"Oct 1, 1852",01/10/1852,
504,Hallowell Free Press,Hallowell Free Press,Hallowell Free Press,,504,N,,,CA,ON,Picton,HIL-MIC,"Dec 28, 1830 - Nov 10, 1834 ",1830-12-28,1834-11-10,N,"Dec 28, 1830 - 1835 ",N,"Variant title: Free Press (Picton, Ontario).",Weekly,,,,"Dec 28, 1830 ",28/12/1830,,1835,01/01/1835,12/07/1837
505,Ontario Timber Worker,Ontario Timber Worker,,HD8101 .O57,505,N,,,CA,ON,Port Arthur,HIL-MIC,July 1947 - May 1951,1947-07-01,1951-05-01,N,July 1947 - May 1951,N,,,,,,Jul-47,01/07/1947,31/07/1947,May-51,01/05/1951,31/05/1951
506,Welland Advocate and Review ,Welland Advocate and Review ,"St. Catherine's Papers, reel 1",,506,N,,,CA,ON,Port Robinson,HIL-MIC,"Feb 13, 1852 - Apr 10, 1852",1852-02-13,1852-04-10,N,"Feb 13, 1852 - Apr 10, 1852",N,,Weekly,,,,"Feb 13, 1852 ",13/02/1852,,"Apr 10, 1852",10/04/1852,
507,Canadian,Canadian,"Ottawa Citizen, reels 254-390",,499,Y,0319-5139,,CA,ON,Toronto,HIL-MIC,Sept 1975 - Oct 1979,1975-09-01,1979-10-01,N,Sept 1975 - Oct 1979,Y,Weekly supplement in the Ottawa Citizen.,Weekly,"The Canadian (Toronto, Ontario) merges with the Weekend Magazine (Montréal, Québec), a supplement included in numerous newpapers (in our collection, it is included with the Montreal Star), to form the Canadian Weekend (Toronto, Ontario). ",,,Sep-75,01/09/1975,30/09/1975,Oct-79,01/10/1979,31/10/1979
508,British American Journal,British American Journal,"St. Catherine's Papers 1, 4-11 ",,514,N,,,CA,ON,St. Catherine's ,HIL-MIC,"Jan 28, 1834 - Sept 1835",1834-01-28,1835-09-01,N,"Jan 28, 1834 - Sept 1835",Y,,,,,,"Jan 28, 1834 ",28/01/1834,,Sept 1835,01/09/1835,30/09/1835
509,British Colonial Argus,British Colonial Argus,"St. Catherine's Papers, reel 1",,514,N,,,CA,ON,St. Catherine's ,HIL-MIC,"Aug 6, 1833 - Jan 11, 1834 ",1833-08-06,1834-01-11,N,"Aug 6, 1833 - Jan 11, 1834 ",Y,,Weekly,,,,"Aug 6, 1833 ",06/08/1833,,"Jan 11, 1834",11/01/1834,
510,Farmer's Journal and Welland Canal Intelligencer,Farmer's Journal and Welland Canal Intelligencer,"St. Catherine's Papers, reels 1-3",,514,N,,,CA,ON,St. Catherine's ,HIL-MIC,"Feb 1, 1826 - Jan 20, 1830; Nov 16, 1831; Jan 18, 1832; Apr 18, 1833; July 11, 1833 ",1826-02-01,1833-07-11,Y,"Feb 1, 1826 - Jan 1834 ",Y,,Weekly,Miscellaneous dates are filmed on reel 1.|Some pages are missing.|Random pages in between.|There are editions with no dates.,,,"Feb 1, 1826 ",01/02/1826,,Jan 1834,01/01/1834,31/01/1834
511,Merchant's Herald,Merchant's Herald,"St. Catherine's Papers, reel 9",,511,N,,,CA,ON,St. Catherine's ,HIL-MIC,"Dec 9, 1871",1871-12-09,1871-12-09,N,Oct 1871 - 1872 ,N,,,,,,Oct 1871 ,01/10/1871,31/10/1871,1872,01/01/1872,12/07/1874
512,Morning News (1854),Morning News (1854),Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"Jan 4, 1854 - Dec 30, 1868",1854-01-04,1868-12-30,N,"Jan 4, 1854 - Dec 30, 1868",N,,Tri-weekly,,,,"Jan 4, 1854 ",04/01/1854,,"Dec 30, 1868",30/12/1868,
513,St. Catherine's Constitutional ,St. Catherine's Constitutional ,"St. Catherine's Papers, reel 1",,513,N,,,CA,ON,St. Catherine's ,HIL-MIC,"Feb 18,1852; [Apr 19,1854]; Aug 2,1854; Dec 8,1858; Oct 19,1859; Jan 4,1860; Apr 20,1865; Jan 2,1868; May 28,1868; Dec 23,1869 ",1852-02-18,1869-12-23,Y,1850 - 1871,N,,,,,,1850,01/01/1850,31/12/1850,1871,01/01/1871,
514,St. Catherine's Journal,St. Catherine's Journal,"St. Catherine's Papers 1, 4-11 ",,514,N,,,CA,ON,St. Catherine's ,HIL-MIC,"Jan 1844 - Sept 5, 1861",1844-01-01,1861-09-05,N,Jan 1844 - 1918,Y,,Weekly,,,,Jan 1844 ,01/01/1844,31/01/1844,1918,01/01/1918,12/07/1920
515,"St. Catherine's Journal and Welland Canal, Niagara District General Advertiser","St. Catherine's Journal and Welland Canal, Niagara District General Advertiser","St. Catherine's Papers 1, 4-11 ",,514,N,,,CA,ON,St. Catherine's ,HIL-MIC,"Oct 15, 1835 - Dec 28, 1843",1835-10-15,1836-10-27,N,"Oct 15, 1835 - Dec 28, 1843",Y,,,,,,"Oct 15, 1835 ",15/10/1835,,"Dec 28, 1843",28/12/1843,
516,Morning News (1844),Morning News (1844),Morning News,,212,N,,,CA,NB,Saint John,HIL-MIC,"June 17, 1844 - Dec 30, 1844",1844-06-17,1844-12-30,N,"June 17, 1844 - Dec 30, 1844",N,,Tri-weekly,,,,"June 17, 1844 ",17/06/1844,,"Dec 30, 1844",30/12/1844,
517,Halifax Journal (1810),Halifax Journal (1810),"Halifax Journal with the exception of Jan 15, 1821 - Dec 30, 1822 which is filed as Weekly Chronicle (Halifax), reel 3",,390,N,,,CA,NS,Halifax,HIL-MIC,"Mar 9, 1818; Jan 4, 1819 - Dec 27, 1824; Jan 7, 1828 - June 25,1838",1818-03-09,1838-06-25,Y,"Aug 6, 1810 - 1852?",Y,,Weekly,John Howe Junior picks up publication of the Halifax Journal in 1810; formerly published by John Howe Senior 1780-1800. Publication of the Halifax Journal (1780) had ceased in 1800 when the Halifax Journal had merged with the Royal Gazette and the Nova Scotia Advertiser to form the Nova Scotia Royal Gazette.,,,"Aug 6, 1810 ",06/08/1810,,1852?,01/01/1852,12/07/1854
518,Weekly News,Weekly News,"St. Catherine's Papers, reel 11",,518,N,,,CA,ON,St. Catherine's ,HIL-MIC,"Oct 17, 1872 - Oct 9, 1873",1872-10-17,1873-10-09,N,1872 - 1879,N,"Variant titles: St. Catherine's News, St. Catherine's Weekly News.",Weekly,,,,1872,01/01/1872,31/12/1872,1879,01/01/1879,12/07/1881
519,Weekly Times,Weekly Times,"St. Catherine's Papers, reel 11",,519,N,,,CA,ON,St. Catherine's ,HIL-MIC,"Oct 25, 1872 - Apr 30, 1875 ",1872-10-25,1875-04-30,N,1868 - 1876,N,,Weekly,,,,1868,01/01/1868,31/12/1868,1876,01/01/1876,12/07/1878
520,"Patriot and Farmer's Monitor (Kingston, Ontario)","Patriot and Farmer's Monitor (Kingston, Ontario)",Patriot and Farmer's Monitor,,578,N,,,CA,ON,Kingston,HIL-MIC,"Jan 3, 1832 - Oct 23, 1832",1832-01-03,1832-10-23,N,"Sept 1828 - Oct 23, 1832",N,,Semi-weekly,,,,Sept 1828 ,01/09/1828,30/09/1828,"Oct 23, 1832",23/10/1832,
521,"Upper Canada Gazette, or American Oracle (Niagara, Ontario)","Upper Canada Gazette, or American Oracle (Niagara, Ontario)",Upper Canada Gazette ,,488,N,,,CA,ON,Niagara,HIL-MIC,"Apr 18, 1793 - Sept 1798",1793-04-18,1798-09-01,N,"Apr 18, 1793 - Sept 1798",N,,Weekly,"First published in Niagara, Ontario, but when the capital moved to Toronto, so did the Upper Canada Gazette.|First newspaper published in Ontario.",,,"Apr 18, 1793 ",18/04/1793,,Sept 1798,01/09/1798,30/09/1798
522,Advocate,Advocate,Colonial Advocate ,,522,N,,,CA,ON,Toronto,HIL-MIC,"Dec 1833 - Oct 20, 1834",1833-12-01,1834-10-20,N,"Dec 1833 - Oct 30, 1834 ",N,,Weekly,,,,Dec 1833 ,01/12/1833,31/12/1833,"Oct 30, 1834",30/10/1834,
523,British Colonial Magazine,British Colonial Magazine,British Colonial Magazine,,523,N,0700-8538,,CA,ON,Toronto,HIL-MIC,1852 - 1853,1852-01-01,1853-01-01,N,1852 - 1853,N,,Weekly,,,,1852,01/01/1852,31/12/1852,1853,01/01/1853,12/07/1855
524,Canada Forward,Canada Forward,,HD8101 .C33 ,524,N,,,CA,ON,Toronto,HIL-MIC,"Nov 15, 1926 - Nov 1, 1927 ",1926-11-15,1927-11-01,N,1926 - 1928 ,N,,,,,,1926,01/01/1926,31/12/1926,1928,01/01/1928,12/07/1930
525,Canadian Freeman (1825),Canadian Freeman (1825),Canadian Freeman,,525,N,1181-1811,,CA,ON,Toronto,HIL-MIC,"[Dec 1, 1825 - July 24, 1834]",1825-12-01,1834-07-24,Y,1825 - 1834,N,,,"Publication of this paper ceased in 1834. There is another newspaper entitled Canadian Freeman (1858 - 1873), also from Toronto. ",,,1825,01/01/1825,31/12/1825,1834,01/01/1834,12/07/1836
526,Canadian Labor Defender,Canadian Labor Defender,,HD8101 .C33 ,548,N,0382-8107,,CA,ON,Toronto,HIL-MIC,May 1930 - Aug 1933 ; Feb 1934 - June 1934,1930-05-01,1934-06-01,Y,May 1930 - June 1934,N,,,,,,May-30,01/05/1930,31/05/1930,Jun-34,01/06/1934,30/06/1934
527,Canadian Magazine,Canadian Magazine,"Ottawa Citizen, reels 75-253",,499,Y,0008-5081,,CA,ON,Toronto,HIL-MIC,Nov 1967 - Aug 1975,1967-11-01,1975-08-01,N,Nov 1967 - Aug 1975,Y,Weekly supplement in the Ottawa Citizen.,Weekly,,,,Nov-67,01/11/1967,30/11/1967,Aug-75,01/08/1975,31/08/1975
528,Canadian Monetary Times and Insurance Chronicle,Canadian Monetary Times and Insurance Chronicle,,HF3221 .M653 ,553,N,,,CA,ON,Toronto,HIL-MIC,"Aug 15, 1867 - Mar 18, 1870",1867-08-15,1870-03-18,N,"Aug 15, 1867 - Mar 18, 1870",N,,,v.1 no.1 - v.3 no. 31,,,"Aug 15, 1867 ",15/08/1867,,"Mar 18, 1870",18/03/1870,
529,Canadian Monthly and National Review,Canadian Monthly and National Review,Canadian Monthly and National Review,,567,N,0382-6481,,CA,ON,Toronto,HIL-MIC,Jan 1872 - June 1878,1872-01-01,1878-06-01,N,Jan 1872 - June 1878,N,"Merged with Belford's Monthly Magazine (not in our collection) to form the Rose Belford's Canadian Monthly and National Review (Toronto, Ontario).",Monthly,,,,Jan 1872 ,01/01/1872,31/01/1872,June 1878,01/06/1878,30/06/1878
530,The Canadian Needle Worker,Canadian Needle Worker,,HD8101 .C33,530,N,,,CA,ON,Toronto,HIL-MIC,"Sept 10, 1930; Oct 15, 1930; Nov 29, 1930 ",1930-09-10,1930-11-29,Y,Sept 1930 - ? ,N,,Monthly,"v.1, no. 1-3",,,Sep-30,01/09/1930,30/09/1930,?,,
531,The Canadian Negro,Canadian Negro,,FC106 .B6 C35 ,531,N,,,CA,ON,Toronto,HIL-MIC,1953 - 1956 ,1953-01-01,1956-01-01,N,1953 - 1956 ,N,,,v.1-4,,,1953,01/01/1953,31/12/1853,1956,01/01/1956,12/07/1958
532,Carpenter's Monthly Bulletin,Carpenter's Monthly Bulletin,,HD8101 .S56,532,N,1713-7187,,CA,ON,Toronto,HIL-MIC,Aug 1924 - Oct 1932,1924-08-01,1932-10-01,N,Aug 1924 - Oct 1932,N,,,Filmed on reel 1.,,,Aug-24,01/08/1924,30/08/1924,Oct-32,01/10/1932,31/10/1932
533,Clarion,Clarion,,HD8101 .W64,575,N,0842-0793,,CA,ON,Toronto,HIL-MIC,"[July 1, 1939 - Apr 31, 1940]",1939-07-01,0000-00-00,Y,"July 1, 1939 - Apr 31, 1940",N,,Weekly,Some missing issues.,,,01-Jul-39,01/07/1939,,"Apr 31, 1940",01/05/1940,
534,Colonial Advocate,Colonial Advocate,Colonial Advocate ,,522,N,,,CA,ON,Toronto,HIL-MIC,"[1824]; [1825]; Jan 5, 1826 - Dec 18, 1828; [1829]; Jan 7, 1830 - Nov 28, 1833",1824-01-01,1833-11-28,Y,"Oct 7, 1824 - Nov 28, 1833",N,,Weekly,"Published in Queenston, Ontario Oct. 7-Nov 18, 1824.|Publication suspended Jun 15-Nov 30, 1826. ",,,"Oct 7, 1824 ",07/10/1824,,"Nov 28, 1833",28/11/1833,
535,"Colonial Advocate and Journal of Agriculture, Manufactures and Commerce","Colonial Advocate and Journal of Agriculture, Manufactures and Commerce",Colonial Advocate ,,522,N,1717-5054,,CA,ON,Queenston,HIL-MIC,"May 18, 1824 - Sept 30, 1824",1824-05-18,1824-09-30,N,"May 18, 1824 - Sept 30, 1824 ",N,,Weekly,,,,"May 18, 1824 ",18/05/1824,,"Sept 30, 1824",30/09/1824,
536,Contrast,Contrast,Contrast ,,536,N,0837-1113,,CA,ON,Toronto,HIL-MIC,"Feb 1969 - Dec 22, 1972 ",1969-02-01,1972-12-22,N,Feb 1969 - 1991 ,N,,Monthly Feb 1969; Weekly thereafter,v.1-4,,,Feb-69,01/02/1969,28/02/1969,1991,01/01/1991,12/07/1993
538,The Excavator ,Excavator ,,HD8102 .C61 ,538,N,1714-4426,,CA,ON,Toronto,HIL-MIC,Sept 1941; May - June 1942; Dec 1942,1941-09-01,1942-12-01,Y,1941 - 1942,N,,Monthly,,,,1941,01/01/1941,31/12/1941,1942,01/01/1942,12/07/1944
539,Financial Post,Financial Post,Financial Post,,600,N,0015-2021,,CA,ON,Toronto,HIL-MIC,"Jan 1907 - Dec 31, 1998 ",1907-01-01,1998-12-31,N,"Jan 1907 - Dec 31, 1998 ",N,,"Weekly, 1907-1987; Daily 1988-1998","Supplements: Impetus, Financial Post Magazine (1973), Financial Post Magazine for the Moneywise, and Financial Post Magazine (1990) are filmed along with the Financial Post. ",,,Jan-07,01/01/1907,31/01/1907,31-Dec-98,31/12/1998,
540,Financial Post Magazine (1973),Financial Post Magazine (1973),Financial Post,,600,Y,0384-0360,,CA,ON,Toronto,HIL-MIC,Feb 1976 - Apr 1986,1976-02-01,1986-04-01,N,Feb 1976 - Apr 1986,N,"Supplemental magazine published with the Financial Post (Toronto, ON) ",,No issues were published in Jan. 1976.,,,Feb-76,01/02/1976,29/02/1976,Apr-86,01/04/1986,30/04/1986
541,Financial Post Magazine for the Moneywise,Financial Post Magazine for the Moneywise,Financial Post,,600,Y,1182-0713,,CA,ON,Toronto,HIL-MIC,May 1986 - June 1990,1986-05-01,1990-06-01,N,May 1986 - June 1990,N,"Supplemental magazine published with the Financial Post (Toronto, ON) ",Monthly,,,,May-86,01/05/1986,31/05/1986,Jun-90,01/06/1990,30/06/1990
542,Globe and Mail,Globe and Mail,Globe and Mail,,542,N,0319-0714,,CA,ON,Toronto,HIL-MIC,"Nov 23, 1936 - December 31, 2014 ",1936-11-23,2014-12-31,N,"Nov 23, 1936 - Current ",N,"Formed by the union of The Globe (Toronto, Ontario) and the Mail and Empire (not in our collection).",Daily,"Current print copies can be found in HIL-CURREP, first floor, which are kept until the microfilm is received. ",,,23-Nov-36,23/11/1936,,Present,,
543,The Globe,Globe,Globe and Mail,,542,N,0839-3680,,CA,ON,Toronto,HIL-MIC,"May 2, 1844 - Nov 21, 1936 ",1844-05-02,1936-11-21,N,"May 2, 1844 - Nov 21, 1936 ",N,"Merged with the Mail and Empire (not in our collection) to form the Globe and Mail (Toronto, Ontario).",Daily,,,,"May 2, 1844 ",02/05/1844,,21-Nov-36,21/11/1936,
544,Grip-Sack ,Grip-Sack ,Grip-Sack ,,544,N,0702-2565,,CA,ON,Toronto,HIL-MIC,"1882, 1883",1882-01-01,1883-01-01,N,1882 - 1892?,N,,Annually,v.1-2,,,1882,01/01/1882,31/12/1882,1892?,01/01/1892,12/07/1894
545,Grumbler,Grumbler,Grumbler ,,545,N,0830-3231,,CA,ON,Toronto,HIL-MIC,"Mar 20, 1858 - Mar 12, 1859",1858-03-20,1859-03-12,N,"Mar 20, 1858 - 1864",N,,Weekly,,,,"Mar 20, 1858 ",20/03/1858,,1864,01/01/1864,12/07/1866
546,Impetus,Impetus,Financial Post,,600,Y,0384-0352,,CA,ON,Toronto,HIL-MIC,Feb 1973 - Dec 1975 ,1973-02-01,1975-12-01,N,Feb 1973 - Dec 1975 ,N,"Supplemental magazine published with the Financial Post (Toronto, ON) ",,No issues were published in Jan. 1976.,,,Feb-73,01/02/1973,28/02/1973,Dec-75,01/12/1975,31/12/1975
547,Labor Advocate,Labor Advocate,,HD8101 .L32,547,N,,,CA,ON,Toronto,HIL-MIC,"Dec 5, 1890 - Oct 2, 1891",1890-12-05,1891-10-02,N,"Dec 5, 1890 - Oct 2, 1891",N,,Weekly,,,,"Dec 5, 1890 ",05/12/1890,,"Oct 2, 1891",02/10/1891,
548,Labor Defender,Labor Defender,,HD8101 .C33 ,548,N,0382-9103,,CA,ON,Toronto,HIL-MIC,Mar 1935 - Oct 1935,1935-03-01,1935-10-01,N,Mar 1935 - Oct 1935 ,N,,,,,,Mar-35,01/03/1935,31/03/1935,Oct-35,01/10/1935,31/10/1935
549,Left Wing,Left Wing,,HD8101 .B62,549,N,,,CA,ON,Toronto,HIL-MIC,Nov 1924 - July 1926 ,1924-11-01,1926-07-01,N,Nov 1924 - ?,N,,,Filmed on reel 1.,,,Nov-24,01/11/1924,30/11/1924,?,,
550,Link,Link,,HD8101 .C61 ,550,N,1714-4469,,CA,ON,Toronto,HIL-MIC,1936 - 1938 ,1936-01-01,1938-01-01,N,1936 - ?,N,,,,,,1936,01/01/1936,31/12/1936,?,,
551,Mackenzies Weekly Message,Mackenzies Weekly Message,Mackenzie's Weekly Message ,,583,N,,,CA,ON,Toronto,HIL-MIC,"Dec 25, 1852 - Aug 8, 1856 ",1852-12-25,1856-08-08,N,"Dec 25, 1852 - Aug 8, 1856 ",N,,Weekly,,,,"Dec 25, 1852 ",25/12/1852,,"Aug 8, 1856",08/08/1856,
552,The Monetary and Commercial Times: Insurance Chronicle,Monetary and Commercial Times: Insurance Chronicle,,HF3221 .M653 ,553,N,0380-9145,,CA,ON,Toronto,HIL-MIC,"Mar 1870 - June 30, 1871 ",1870-03-01,1871-06-30,N,"Mar 1870 - June 30, 1871 ",N,,,v.3 no. 32 - v.4 no. 46 ,,,Mar 1870 ,01/03/1870,31/03/1870,"June 30, 1871",30/06/1871,
553,Monetary Times,Monetary Times,,HF3221 .M653 ,553,N,0380-9021,,CA,ON,Toronto,HIL-MIC,"Jan 6, 1912 - Sept 1970",1912-01-06,1970-09-01,N,"Jan 6, 1912 - Sept 1970",N,,Weekly 1912 - 1918; Monthly 1919 - 1970,v.48-138,,,06-Jan-12,06/01/1912,,Sep-70,01/09/1970,30/09/1970
554,The Monetary Times and Trade Review: Insurance Chronicle,Monetary Times and Trade Review: Insurance Chronicle,,HF3221 .M653 ,553,N,0380-9153,,CA,ON,Toronto,HIL-MIC,"July 7, 1871 - June 30, 1882",1871-07-07,1882-06-30,N,"July 7, 1871 - June 30, 1882",N,,Weekly,v.5-15,,,"July 7, 1871 ",07/07/1871,,"June 30, 1882",30/06/1882,
555,"The Monetary Times, Trade Review and Insurance Chronicle","Monetary Times, Trade Review and Insurance Chronicle",,HF3221 .M653 ,553,N,0380-9161,,CA,ON,Toronto,HIL-MIC,"July 7, 1882 - Dec 30, 1911",1882-07-07,1911-12-30,N,"July 7, 1882 - Dec 30, 1911",N,,Weekly,v.16-47,,,"July 7, 1882 ",07/07/1882,,30-Dec-11,30/12/1911,
556,Morning Star and Toronto Transcript,Morning Star and Toronto Transcript,Toronto Star ,,580,N,0841-9582,,CA,ON,Toronto,HIL-MIC,"Jan 2, 1841 - Dec 9, 1842",1841-01-02,1842-12-09,N,"Jan 1841 - Dec 29, 1842",N,,,,,,Jan 1841 ,01/01/1841,31/01/1841,"Dec 29, 1842",29/12/1842,
557,Mudslinger,Mudslinger,,HD8101 .L66,557,N,,,CA,ON,Toronto,HIL-MIC,Dec 1938 - Feb 1939,1938-12-01,1939-02-01,N,1938 - ?,N,,,,,,1938,01/01/1938,31/12/1938,?,,
